State County,City,Property Name,Property Numbe Site Number Category,Division District,Property Name Property Numbe Site Number,Unnamed: 0,Category,Property Numbe Site Number
NY Richmond County,STATEN ISLAND,SWINBURNE ISL S/LIGHT,C02NY0718 02 CON/HTRW,NAD NAE,,,,
NY Saratoga County,STILLWATER,SARATOGA AF STA 250,C02NY0905 01 CON/HTRW,NAD NAE,,,,
NY Nassau County,SYOSSET,SYOSSET NAV INDRESACFT,C02NY0746 01 CON/HTRW,NAD NAE,,,,
NY Onondaga County,SYRACUSE,SYRACUSE AFS MCC-10,C02NY0719 01 CON/HTRW,NAD NAE,,,,
NY Rockland County,TOMKINS COVE,IONA ISLAND NAVAL AMMUNITION,C02NY0744 01 CON/HTRW,NAD NAE,,,,
,,DEPOT,,,,,,
NY Rockland County,TOMKINS COVE,IONA ISLAND NAVAL AMMUNITION,C02NY0744 02 HTRW,NAD NAE,,,,
,,DEPOT,,,,,,
NY Rockland County,TOMKINS COVE,IONA ISLAND NAVAL AMMUNITION,C02NY0744 03 MMRP,NAD NAE,,,,
,,DEPOT,,,,,,
NY Wyoming County,VILLAGE OF,CAMP O'RYAN - WETHERSFIELD,C02NY1132 01 HTRW,NAD NAE,,,,
,"NORTH JAVA,",TRAINING AREA,,,,,,
,TOWN OF,,,,,,,
,WETHERSFI,,,,,,,
NY Jefferson County,WATERTOWN,ROCHESTER ORD STO FAC,C02NY0678 00 MMRP,NAD NAE,,,,
NY Jefferson County,WATERTOWN,WATERTOWN AF STA 249,C02NY0906 01 CON/HTRW,NAD NAE,,,,
NY Clinton County,WEST CHAZY,PLATTSBURG OTR MK AUX,C02NY0682 01 CON/HTRW,NAD NAE,,,,
NY Suffolk County,WESTHAMPTON,SUFFOLK CO AAF&B&C RGE,C02NY0713 01 MMRP,NAD NAE,,,,
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 01 CON/HTRW,NAD NAE,,,,
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 02 HTRW,NAD NAE,,,,
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 03 PRP/HTRW,NAD NAB,,,,
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 04 MMRP,NAD NAE,,,,
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 06 MMRP,NAD NAE,,,,
NY Westchester County,WHITE PLAINS,NIKE NY 09,C02NY0094 01 CON/HTRW,NAD NAE,,,,
NY Seneca County,WILLARD,SAMPSON AFB,C02NY0032 00 CON/HTRW,NAD NAE,,,,
NY Seneca County,WILLARD,SAMPSON AFB,C02NY0032 01 BD/DR,NAD NAE,,,,
