State County,City,Property Name Property Numbe Site Number,Unnamed: 0,Category,Division District,Property Name,Property Numbe Site Number
AK Kodiak Island Borough,"KODIAK, SW. OF",,,MMRP,POD POA,BURMA ROAD,F10AK0291 02
AK Kodiak Island Borough,"KODIAK, SW. OF",,,HTRW,POD POA,BURMA ROAD,F10AK0291 03
AK Kodiak Island Borough,"KODIAK, SW. OF",,,MMRP,POD POA,BURMA ROAD,F10AK0291 05
AK Kodiak Island Borough,"KODIAK, SW. OF",,,MMRP,POD POA,BURMA ROAD,F10AK0291 06
AK Kodiak Island Borough,"KODIAK, SW. OF",,,MMRP,POD POA,BURMA ROAD,F10AK0291 07
AK Kodiak Island Borough,"KODIAK, SW. OF",,,MMRP,POD POA,BURMA ROAD,F10AK0291 08
AK Kodiak Island Borough,"KODIAK, SW. OF",,,BD/DR,POD POA,KODIAK CG SUP CNTR,F10AK0840 01
AK Northwest Arctic Borough,"KOTZEBUE, NW.",,,BD/DR,POD POA,KRUSENSTERN RR ANX,F10AK0035 01
,OF,,,,,,
AK Northwest Arctic Borough,"KOTZEBUE, NW.",,,CON/HTRW,POD POA,KRUSENSTERN RR ANX,F10AK0035 02
AK Northwest Arctic Borough,"KOTZEBUE, NW.",,,HTRW,POD POA,KRUSENSTERN RR ANX,F10AK0035 03
,OF,,,,,,
AK Matanuska-susitna Borough,LAKE LOUISE,,,CON/HTRW,POD POA,LAKE LOUISE AIRFIELD,F10AK0997 01
AK Yukon-koyukuk Census Area,MCGRATH,,,CON/HTRW,POD POA,"WALSETH AFB,MCGRATH",F10AK0247 02
AK Yukon-koyukuk Census Area,MCGRATH,,,HTRW,POD POA,"WALSETH AFB,MCGRATH",F10AK0247 03
AK Prince Of Wales-outer,"METLAKATLA, S.",,,CON/HTRW,POD POA,ANNETTE ISL LAND FLD,F10AK0051 01
Ketchikan Census Area,OF,,,,,,
AK Prince Of Wales-outer,"METLAKATLA, S.",,,HTRW,POD POA,ANNETTE ISL LAND FLD,F10AK0051 02
Ketchikan Census Area,OF,,,,,,
AK North Slope Borough,NEAR KAKTOVIK,,,CON/HTRW,POD POA,GRIFFIN POINT DEW,F10AK0008 02
AK North Slope Borough,NEAR KAKTOVIK,,,HTRW,POD POA,GRIFFIN POINT DEW,F10AK0008 03
AK Kodiak Island Borough,NEAR KODIAK,,,BD/DR,POD POA,FORT SMITH/LITTLE NS,F10AK0282 01
AK Kodiak Island Borough,NEAR KODIAK,,,CON/HTRW,POD POA,FORT SMITH/LITTLE NS,F10AK0282 02
AK Kodiak Island Borough,NEAR KODIAK,,,HTRW,POD POA,FORT SMITH/LITTLE NS,F10AK0282 03
AK Southeast Fairbanks Census,NO CITY,,,HTRW,POD POA,CANOL PIPELINE,F10AK1033 01
Area,,,,,,,
AK Nome Census Area,"NOME, EAST OF",,,BD/DR,POD POA,MOSES POINT GARRISON,F10AK0162 01
AK Nome Census Area,"NOME, EAST OF",,,CON/HTRW,POD POA,MOSES POINT GARRISON,F10AK0162 02
AK Nome Census Area,"NOME, EAST OF",,,HTRW,POD POA,MOSES POINT GARRISON,F10AK0162 03
AK Nome Census Area,"NOME, NORTH OF",,,BD/DR,POD POA,KOUGAROK AFB,F10AK0142 01
AK Nome Census Area,"NOME, NORTH OF",,,CON/HTRW,POD POA,KOUGAROK AFB,F10AK0142 02
AK Nome Census Area,"NOME, NORTH OF",,,HTRW,POD POA,KOUGAROK AFB,F10AK0142 03
AK Nome Census Area,"NOME, NORTH OF",,,BD/DR,POD POA,LAVA LK WEATHER STA,F10AK0061 01
AK Nome Census Area,"NOME, NORTH OF",,,CON/HTRW,POD POA,LAVA LK WEATHER STA,F10AK0061 02
AK Nome Census Area,"NOME, NORTH OF",,,HTRW,POD POA,LAVA LK WEATHER STA,F10AK0061 03
AK Nome Census Area,"NOME,",,,BD/DR,POD POA,PORT CLARENCE LORAN ST,F10AK0843 01
,NORTHWEST OF,,,,,,
AK Nome Census Area,"NOME, NW. OF",,,BD/DR,POD POA,CAPE PRINCE WALES AWS,F10AK0074 01
AK Nome Census Area,"NOME, NW. OF",,,CON/HTRW,POD POA,CAPE PRINCE WALES AWS,F10AK0074 02
AK Nome Census Area,"NOME, NW. OF",,,HTRW,POD POA,CAPE PRINCE WALES AWS,F10AK0074 03
AK Nome Census Area,"NOME, SE. OF",,,BD/DR,POD POA,CAPE NOME ACS,F10AK0293 01
